cluster,size,benign_count,malicious_count,l_diversity,benign_ratio
1,13861,476,13385,2,0.034340956640935
2,13556,362,13194,2,0.02670404249041015
5,5255,49,5206,2,0.009324452901998096
6,10442,48,10394,2,0.004596820532465045
7,2947,2328,619,2,0.7899558873430608
8,11038,6335,4703,2,0.5739264359485414
9,5142,127,5015,2,0.024698560871256322
10,23748,74,23674,2,0.0031160518780528885
13,7239,14,7225,2,0.0019339687802182623
14,13770,187,13583,2,0.013580246913580247
15,9285,419,8866,2,0.045126548196015075
17,343,66,277,2,0.1924198250728863
18,2745,43,2702,2,0.015664845173041893
21,2599,200,2399,2,0.07695267410542517
22,4436,90,4346,2,0.02028854824165915
23,12437,602,11835,2,0.04840395593792715
25,60203,853,59350,2,0.01416872913309968
26,6673,2489,4184,2,0.3729956541285778
27,9209,536,8673,2,0.058203930937126724
